authoritative_ID	source_table_ID	original_bin_ID	source_sample	Phylum	Class	Order	Family	Genus	Completeness	Contamination	integrity_check
SS-13	SS-02	FLYE-MetaBAT2Refined-group-group_220428.91	MG220428	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	JARRKU01	92.36	0.42	OK
SS-14	SS-15	METAMDBG-MetaBAT2Refined-group-group_231025.73	MG231025	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	JAHTBL01	94.16	0.21	OK
SS-15	SS-24	METAMDBG-MetaBAT2Refined-group-group_240416.708_sub	MG240416	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	Methyloceanibacter	93.19	3.69	OK
SS-16	SS-13	METAMDBG-MaxBin2Refined-group-group_240416.006	MG240416	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	Methyloceanibacter	99.55	0.28	OK
SS-17	SS-03	FLYE-MetaBAT2Refined-group-group_240416.203	MG240416	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	CAJQQK01	92.0	2.77	OK
SS-18	SS-23	METAMDBG-MetaBAT2Refined-group-group_240416.313	MG240416	Pseudomonadota	Gammaproteobacteria	BMS3Bbin11	BMS3Bbin11	BMS3Bbin11	100.0	0.01	OK
SS-19	SS-18	METAMDBG-MetaBAT2Refined-group-group_240304.5	MG240304	Pseudomonadota	Gammaproteobacteria	GCA-001735895	GCA-001735895	JACNJF01	94.1	4.46	OK
SS-20	SS-22	METAMDBG-MetaBAT2Refined-group-group_240416.291	MG240416	Pseudomonadota	Gammaproteobacteria	SZUA-229	SZUA-229	JABDQW01	95.11	1.05	OK
SS-21	SS-16	METAMDBG-MetaBAT2Refined-group-group_240304.148	MG240304	Pseudomonadota	Gammaproteobacteria	SZUA-229	SZUA-229	GCA-2746365	95.51	1.93	OK
SS-22	SS-27	METAMDBG-MetaBinnerRefined-group-group_240416.2	MG240416	Pseudomonadota	Gammaproteobacteria	Woeseiales	Woeseiaceae	JAACFE01	97.01	2.76	OK
SS-23	SS-20	METAMDBG-MetaBAT2Refined-group-group_240416.1169	MG240416	Pseudomonadota	Gammaproteobacteria	Woeseiales	Woeseiaceae	JBFGFX01	99.97	0.88	OK
SS-24	SS-25	METAMDBG-MetaBAT2Refined-group-group_240416.795	MG240416	Pseudomonadota	Gammaproteobacteria	Woeseiales	Woeseiaceae	JAACFB01	98.25	0.11	OK
SS-25	SS-10	METAMDBG-MaxBin2Refined-group-group_220428.005	MG220428	Pseudomonadota	Gammaproteobacteria	Woeseiales	Woeseiaceae	JAACFB01	97.6	0.14	OK
SS-26	SS-08	FLYE-MetaBAT2Refined-group-group_240416.820	MG240416	Pseudomonadota	Gammaproteobacteria	Chromatiales	Sedimenticolaceae	Sva-25	97.17	2.76	OK
SS-27	SS-04	FLYE-MetaBAT2Refined-group-group_240416.419	MG240416	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudohongiellaceae	UBA9145	92.97	0.48	OK
SS-28	SS-07	FLYE-MetaBAT2Refined-group-group_240416.82	MG240416	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	SZUA-36	SZUA-36 (fam.)	94.95	0.75	OK
SS-29	SS-01	FLYE-CONCOCTRefined-group-group_240416.290	MG240416	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	SZUA-36	Marinihelvus	96.92	0.92	OK
