source_sample	source_run	bin_id	completeness_checkm2	contamination_checkm2	operational_category
MG250912	run_20260415_202352	FLYE-SemiBin2Refined-group-group_250912.3.fa	17.36	2.73	LQ
MG250912	run_20260415_202352	METAMDBG-CONCOCTRefined-group-group_250912.23_sub.fa	60.47	10.57	LQ
MG250912	run_20260415_202352	METAMDBG-CONCOCTRefined-group-group_250912.8.fa	80.01	16.96	LQ
MG250912	run_20260415_202352	METAMDBG-MaxBin2Refined-group-group_250912.001.fa	96.11	6.28	MQ
MG250912	run_20260415_202352	METAMDBG-MaxBin2Refined-group-group_250912.011_sub.fa	71.42	17.8	LQ
MG250912	run_20260415_202352	METAMDBG-MaxBin2Refined-group-group_250912.015_sub.fa	74.93	28.69	LQ
MG250912	run_20260415_202352	METAMDBG-MaxBin2Refined-group-group_250912.016.fa	74.61	19.35	LQ
MG250912	run_20260415_202352	METAMDBG-MetaBAT2Refined-group-group_250912.13.fa	48.04	0.96	LQ
MG250912	run_20260415_202352	METAMDBG-MetaBAT2Refined-group-group_250912.29_sub.fa	20.6	0.53	LQ
MG250912	run_20260415_202352	METAMDBG-MetaBAT2Refined-group-group_250912.41.fa	90.03	31.16	LQ
MG250912	run_20260415_202352	METAMDBG-MetaBAT2Refined-group-group_250912.46.fa	37.16	1.78	LQ
MG250912	run_20260415_202352	METAMDBG-MetaBAT2Refined-group-group_250912.51.fa	62.98	0.4	MQ
MG250912	run_20260415_202352	METAMDBG-MetaBAT2Refined-group-group_250912.64.fa	27.18	5.76	LQ
MG250912	run_20260415_202352	METAMDBG-MetaBinnerRefined-group-group_250912.14.fa	63.48	10.54	LQ
MG250912	run_20260415_202352	METAMDBG-MetaBinnerRefined-group-group_250912.15.fa	58.44	12.82	LQ
MG250912	run_20260415_202352	METAMDBG-MetaBinnerRefined-group-group_250912.6_sub.fa	58.2	6.08	MQ
MG250912	run_20260415_202352	METAMDBG-SemiBin2Refined-group-group_250912.1.fa	73.3	0.53	MQ
MG250912	run_20260415_202352	METAMDBG-SemiBin2Refined-group-group_250912.15.fa	63.31	9.67	MQ
MG250912	run_20260415_202352	METAMDBG-SemiBin2Refined-group-group_250912.49_sub.fa	59.64	11.84	LQ
MG250912	run_20260415_202352	METAMDBG-SemiBin2Refined-group-group_250912.59_sub.fa	69.63	29.78	LQ
MG251125	run_20260414_125635	METAMDBG-CONCOCTRefined-group-group_251125.3.fa	30.32	2.65	LQ
MG221216	run_20260415_055420	FLYE-CONCOCTRefined-group-group_221216.19.fa	43.89	3.36	LQ
MG221216	run_20260415_055420	FLYE-MaxBin2Refined-group-group_221216.001.fa	48.14	0.05	LQ
MG221216	run_20260415_055420	FLYE-MaxBin2Refined-group-group_221216.003.fa	47.22	0.83	LQ
MG221216	run_20260415_055420	FLYE-MaxBin2Refined-group-group_221216.016.fa	65.18	11.28	LQ
MG221216	run_20260415_055420	FLYE-MetaBAT2Refined-group-group_221216.41.fa	83.25	8.78	MQ
MG221216	run_20260415_055420	FLYE-MetaBinnerRefined-group-group_221216.9_sub.fa	40.54	7.41	LQ
MG221216	run_20260415_055420	FLYE-SemiBin2Refined-group-group_221216.3.fa	22.1	0.86	LQ
MG221216	run_20260415_055420	FLYE-SemiBin2Refined-group-group_221216.64.fa	38.54	1.69	LQ
MG221216	run_20260415_055420	METAMDBG-CONCOCTRefined-group-group_221216.0_sub.fa	42.9	8.49	LQ
MG221216	run_20260415_055420	METAMDBG-CONCOCTRefined-group-group_221216.18_sub.fa	30.71	4.86	LQ
MG221216	run_20260415_055420	METAMDBG-MaxBin2Refined-group-group_221216.001.fa	42.93	0.0	LQ
MG221216	run_20260415_055420	METAMDBG-MaxBin2Refined-group-group_221216.002.fa	52.7	0.04	MQ
MG221216	run_20260415_055420	METAMDBG-MaxBin2Refined-group-group_221216.003.fa	99.96	16.44	LQ
MG221216	run_20260415_055420	METAMDBG-MaxBin2Refined-group-group_221216.010_sub.fa	63.1	12.88	LQ
MG221216	run_20260415_055420	METAMDBG-MaxBin2Refined-group-group_221216.012_sub.fa	18.36	1.03	LQ
MG221216	run_20260415_055420	METAMDBG-MaxBin2Refined-group-group_221216.030_sub.fa	53.85	10.03	LQ
MG221216	run_20260415_055420	METAMDBG-MaxBin2Refined-group-group_221216.035_sub.fa	75.52	21.55	LQ
MG221216	run_20260415_055420	METAMDBG-MaxBin2Refined-group-group_221216.041_sub.fa	63.38	9.18	MQ
MG221216	run_20260415_055420	METAMDBG-MaxBin2Refined-group-group_221216.072_sub.fa	45.13	8.11	LQ
MG221216	run_20260415_055420	METAMDBG-MetaBinnerRefined-group-group_221216.1.fa	66.63	4.92	MQ
MG221216	run_20260415_055420	METAMDBG-MetaBinnerRefined-group-group_221216.11.fa	36.69	5.4	LQ
MG221216	run_20260415_055420	METAMDBG-MetaBinnerRefined-group-group_221216.12.fa	62.88	11.44	LQ
MG221216	run_20260415_055420	METAMDBG-MetaBinnerRefined-group-group_221216.14_sub.fa	45.91	5.15	LQ
MG221216	run_20260415_055420	METAMDBG-MetaBinnerRefined-group-group_221216.18_sub.fa	43.14	7.01	LQ
MG221216	run_20260415_055420	METAMDBG-MetaBinnerRefined-group-group_221216.19_sub.fa	35.82	4.77	LQ
MG221216	run_20260415_055420	METAMDBG-MetaBinnerRefined-group-group_221216.2.fa	77.59	4.47	MQ
MG221216	run_20260415_055420	METAMDBG-MetaBinnerRefined-group-group_221216.20_sub.fa	30.79	2.56	LQ
MG221216	run_20260415_055420	METAMDBG-MetaBinnerRefined-group-group_221216.3.fa	54.35	4.5	MQ
MG221216	run_20260415_055420	METAMDBG-MetaBinnerRefined-group-group_221216.4.fa	47.8	4.33	LQ
MG221216	run_20260415_055420	METAMDBG-MetaBinnerRefined-group-group_221216.5.fa	80.12	12.48	LQ
MG221216	run_20260415_055420	METAMDBG-MetaBinnerRefined-group-group_221216.7_sub.fa	55.29	10.24	LQ
MG221216	run_20260415_055420	METAMDBG-MetaBinnerRefined-group-group_221216.9.fa	52.55	8.54	MQ
MG221216	run_20260415_055420	METAMDBG-SemiBin2Refined-group-group_221216.1.fa	52.25	6.97	MQ
MG221216	run_20260415_055420	METAMDBG-SemiBin2Refined-group-group_221216.137.fa	53.22	13.17	LQ
MG221216	run_20260415_055420	METAMDBG-SemiBin2Refined-group-group_221216.155_sub.fa	78.18	25.68	LQ
MG221216	run_20260415_055420	METAMDBG-SemiBin2Refined-group-group_221216.5.fa	65.28	10.55	LQ
MG230703	run_20260415_084057	FLYE-MaxBin2Refined-group-group_230703.007.fa	48.96	7.73	LQ
MG230703	run_20260415_084057	FLYE-MetaBAT2Refined-group-group_230703.14_sub.fa	47.06	8.5	LQ
MG230703	run_20260415_084057	FLYE-MetaBAT2Refined-group-group_230703.21.fa	34.37	1.53	LQ
MG230703	run_20260415_084057	FLYE-MetaBinnerRefined-group-group_230703.2.fa	39.01	2.05	LQ
MG230703	run_20260415_084057	FLYE-MetaBinnerRefined-group-group_230703.4.fa	46.77	7.8	LQ
MG230703	run_20260415_084057	FLYE-SemiBin2Refined-group-group_230703.0.fa	61.66	3.01	MQ
MG230703	run_20260415_084057	FLYE-SemiBin2Refined-group-group_230703.1.fa	53.84	8.38	MQ
MG230703	run_20260415_084057	FLYE-SemiBin2Refined-group-group_230703.2.fa	31.67	1.81	LQ
MG230703	run_20260415_084057	FLYE-SemiBin2Refined-group-group_230703.3.fa	54.23	7.69	MQ
MG230703	run_20260415_084057	FLYE-SemiBin2Refined-group-group_230703.49_sub.fa	40.73	9.66	LQ
MG230703	run_20260415_084057	METAMDBG-CONCOCTRefined-group-group_230703.72_sub.fa	63.45	15.58	LQ
MG230703	run_20260415_084057	METAMDBG-CONCOCTRefined-group-group_230703.85_sub.fa	55.49	10.18	LQ
MG230703	run_20260415_084057	METAMDBG-MaxBin2Refined-group-group_230703.006_sub.fa	46.53	9.98	LQ
MG230703	run_20260415_084057	METAMDBG-MaxBin2Refined-group-group_230703.008_sub.fa	50.89	10.1	LQ
MG230703	run_20260415_084057	METAMDBG-MaxBin2Refined-group-group_230703.026_sub.fa	49.96	8.54	LQ
MG230703	run_20260415_084057	METAMDBG-MaxBin2Refined-group-group_230703.035_sub.fa	54.56	14.47	LQ
MG230703	run_20260415_084057	METAMDBG-MetaBAT2Refined-group-group_230703.50.fa	80.53	2.26	MQ
MG230703	run_20260415_084057	METAMDBG-MetaBAT2Refined-group-group_230703.71_sub.fa	66.23	19.56	LQ
MG230703	run_20260415_084057	METAMDBG-MetaBinnerRefined-group-group_230703.11.fa	45.67	7.43	LQ
MG230703	run_20260415_084057	METAMDBG-MetaBinnerRefined-group-group_230703.15.fa	50.62	5.81	MQ
MG230703	run_20260415_084057	METAMDBG-MetaBinnerRefined-group-group_230703.16_sub.fa	42.42	3.34	LQ
MG230703	run_20260415_084057	METAMDBG-MetaBinnerRefined-group-group_230703.2.fa	56.37	2.87	MQ
MG230703	run_20260415_084057	METAMDBG-MetaBinnerRefined-group-group_230703.6.fa	62.97	11.25	LQ
MG230703	run_20260415_084057	METAMDBG-SemiBin2Refined-group-group_230703.1.fa	59.4	1.53	MQ
MG230703	run_20260415_084057	METAMDBG-SemiBin2Refined-group-group_230703.16.fa	66.33	7.22	MQ
MG230703	run_20260415_084057	METAMDBG-SemiBin2Refined-group-group_230703.2.fa	54.37	6.89	MQ
MG230703	run_20260415_084057	METAMDBG-SemiBin2Refined-group-group_230703.7_sub.fa	13.79	0.0	LQ
MG220428	run_20260418_161743	FLYE-CONCOCTRefined-group-group_220428.113.fa	80.64	15.14	LQ
MG220428	run_20260418_161743	FLYE-CONCOCTRefined-group-group_220428.118.fa	68.45	10.57	LQ
MG220428	run_20260418_161743	FLYE-CONCOCTRefined-group-group_220428.19.fa	82.2	22.56	LQ
MG220428	run_20260418_161743	FLYE-CONCOCTRefined-group-group_220428.20_sub.fa	26.35	4.34	LQ
MG220428	run_20260418_161743	FLYE-CONCOCTRefined-group-group_220428.27.fa	45.84	5.87	LQ
MG220428	run_20260418_161743	FLYE-CONCOCTRefined-group-group_220428.4_sub.fa	64.15	6.93	MQ
MG220428	run_20260418_161743	FLYE-CONCOCTRefined-group-group_220428.58_sub.fa	73.3	29.0	LQ
MG220428	run_20260418_161743	FLYE-CONCOCTRefined-group-group_220428.8.fa	98.59	12.24	LQ
MG220428	run_20260418_161743	FLYE-CONCOCTRefined-group-group_220428.9.fa	52.96	8.09	MQ
MG220428	run_20260418_161743	FLYE-CONCOCTRefined-group-group_220428.94.fa	42.72	7.14	LQ
MG220428	run_20260418_161743	FLYE-MaxBin2Refined-group-group_220428.004.fa	98.81	1.16	HQ_candidate
MG220428	run_20260418_161743	FLYE-MaxBin2Refined-group-group_220428.015.fa	68.19	11.46	LQ
MG220428	run_20260418_161743	FLYE-MetaBAT2Refined-group-group_220428.105.fa	58.75	1.62	MQ
MG220428	run_20260418_161743	FLYE-MetaBAT2Refined-group-group_220428.11.fa	85.16	2.12	MQ
MG220428	run_20260418_161743	FLYE-MetaBAT2Refined-group-group_220428.117.fa	71.32	2.41	MQ
MG220428	run_20260418_161743	FLYE-MetaBAT2Refined-group-group_220428.120.fa	71.15	3.28	MQ
MG220428	run_20260418_161743	FLYE-MetaBAT2Refined-group-group_220428.123_sub.fa	42.29	5.97	LQ
MG220428	run_20260418_161743	FLYE-MetaBAT2Refined-group-group_220428.135_sub.fa	84.3	14.34	LQ
MG220428	run_20260418_161743	FLYE-MetaBAT2Refined-group-group_220428.143.fa	73.73	22.79	LQ
MG220428	run_20260418_161743	FLYE-MetaBAT2Refined-group-group_220428.144.fa	80.7	5.52	MQ
MG220428	run_20260418_161743	FLYE-MetaBAT2Refined-group-group_220428.145.fa	36.59	0.04	LQ
MG220428	run_20260418_161743	FLYE-MetaBAT2Refined-group-group_220428.158.fa	82.11	5.27	MQ
MG220428	run_20260418_161743	FLYE-MetaBAT2Refined-group-group_220428.167.fa	84.95	3.49	MQ
MG220428	run_20260418_161743	FLYE-MetaBAT2Refined-group-group_220428.31_sub.fa	90.49	46.47	LQ
MG220428	run_20260418_161743	FLYE-MetaBAT2Refined-group-group_220428.47.fa	68.49	2.82	MQ
MG220428	run_20260418_161743	FLYE-MetaBAT2Refined-group-group_220428.49.fa	70.57	10.15	LQ
MG220428	run_20260418_161743	FLYE-MetaBAT2Refined-group-group_220428.73.fa	99.9	27.19	LQ
MG220428	run_20260418_161743	FLYE-MetaBAT2Refined-group-group_220428.91.fa	92.36	0.42	HQ_candidate
MG220428	run_20260418_161743	FLYE-MetaBinnerRefined-group-group_220428.10_sub.fa	40.07	4.25	LQ
MG220428	run_20260418_161743	FLYE-MetaBinnerRefined-group-group_220428.11.fa	61.99	9.72	MQ
MG220428	run_20260418_161743	FLYE-MetaBinnerRefined-group-group_220428.19_sub.fa	56.95	10.73	LQ
MG220428	run_20260418_161743	FLYE-MetaBinnerRefined-group-group_220428.25_sub.fa	32.18	3.13	LQ
MG220428	run_20260418_161743	FLYE-MetaBinnerRefined-group-group_220428.26_sub.fa	18.29	0.22	LQ
MG220428	run_20260418_161743	FLYE-MetaBinnerRefined-group-group_220428.29_sub.fa	25.56	2.0	LQ
MG220428	run_20260418_161743	FLYE-MetaBinnerRefined-group-group_220428.32_sub.fa	57.29	6.39	MQ
MG220428	run_20260418_161743	FLYE-MetaBinnerRefined-group-group_220428.7_sub.fa	67.91	12.74	LQ
MG220428	run_20260418_161743	FLYE-SemiBin2Refined-group-group_220428.1.fa	88.6	13.68	LQ
MG220428	run_20260418_161743	FLYE-SemiBin2Refined-group-group_220428.10.fa	64.72	2.57	MQ
MG220428	run_20260418_161743	FLYE-SemiBin2Refined-group-group_220428.13.fa	50.01	0.81	MQ
MG220428	run_20260418_161743	FLYE-SemiBin2Refined-group-group_220428.14.fa	68.07	1.86	MQ
MG220428	run_20260418_161743	FLYE-SemiBin2Refined-group-group_220428.24.fa	50.58	0.45	MQ
MG220428	run_20260418_161743	FLYE-SemiBin2Refined-group-group_220428.27.fa	11.8	0.08	LQ
MG220428	run_20260418_161743	FLYE-SemiBin2Refined-group-group_220428.5.fa	82.2	12.51	LQ
MG220428	run_20260418_161743	FLYE-SemiBin2Refined-group-group_220428.8.fa	68.89	13.94	LQ
MG220428	run_20260418_161743	METAMDBG-CONCOCTRefined-group-group_220428.11.fa	72.14	2.28	MQ
MG220428	run_20260418_161743	METAMDBG-CONCOCTRefined-group-group_220428.111_sub.fa	59.7	14.54	LQ
MG220428	run_20260418_161743	METAMDBG-CONCOCTRefined-group-group_220428.117_sub.fa	75.37	30.95	LQ
MG220428	run_20260418_161743	METAMDBG-CONCOCTRefined-group-group_220428.119_sub.fa	75.06	19.29	LQ
MG220428	run_20260418_161743	METAMDBG-CONCOCTRefined-group-group_220428.13.fa	85.28	12.63	LQ
MG220428	run_20260418_161743	METAMDBG-CONCOCTRefined-group-group_220428.143_sub.fa	67.55	6.6	MQ
MG220428	run_20260418_161743	METAMDBG-CONCOCTRefined-group-group_220428.14_sub.fa	72.24	17.36	LQ
MG220428	run_20260418_161743	METAMDBG-CONCOCTRefined-group-group_220428.156.fa	59.78	11.24	LQ
MG220428	run_20260418_161743	METAMDBG-CONCOCTRefined-group-group_220428.18_sub.fa	62.61	16.12	LQ
MG220428	run_20260418_161743	METAMDBG-CONCOCTRefined-group-group_220428.76.fa	98.43	5.94	MQ
MG220428	run_20260418_161743	METAMDBG-CONCOCTRefined-group-group_220428.77_sub.fa	98.04	24.26	LQ
MG220428	run_20260418_161743	METAMDBG-CONCOCTRefined-group-group_220428.91_sub.fa	100.0	25.16	LQ
MG220428	run_20260418_161743	METAMDBG-CONCOCTRefined-group-group_220428.99_sub.fa	66.06	14.25	LQ
MG220428	run_20260418_161743	METAMDBG-MaxBin2Refined-group-group_220428.004.fa	49.59	0.0	LQ
MG220428	run_20260418_161743	METAMDBG-MaxBin2Refined-group-group_220428.005.fa	97.6	0.14	HQ_candidate
MG220428	run_20260418_161743	METAMDBG-MaxBin2Refined-group-group_220428.011.fa	77.48	4.05	MQ
MG220428	run_20260418_161743	METAMDBG-MaxBin2Refined-group-group_220428.048_sub.fa	61.69	2.0	MQ
MG220428	run_20260418_161743	METAMDBG-MaxBin2Refined-group-group_220428.062_sub.fa	20.44	1.36	LQ
MG220428	run_20260418_161743	METAMDBG-MaxBin2Refined-group-group_220428.071_sub.fa	42.94	5.7	LQ
MG220428	run_20260418_161743	METAMDBG-MetaBAT2Refined-group-group_220428.102.fa	73.15	0.11	MQ
MG220428	run_20260418_161743	METAMDBG-MetaBAT2Refined-group-group_220428.108_sub.fa	80.74	26.06	LQ
