catalogue	source_table_ID	authoritative_ID	original_bin_ID	16S_count	23S_count	5S_count	tRNA_features	tRNA_standard_AA	strict_MIMAG_HQ	evidence_source	evidence_grade	provenance_note
MAG29	SS-16	SS-21	METAMDBG-MetaBAT2Refined-group-group_240304.148	2	1	1	45	20	yes	Bakta v1.11.0 GFF3 reannotation (DB light v6)	PRIMARY	Bakta SLURM array; completed all 29 tasks
MAG29	SS-17	SS-11	METAMDBG-MetaBAT2Refined-group-group_240304.160	2	2	2	43	17	no	Bakta v1.11.0 GFF3 reannotation (DB light v6)	PRIMARY	Bakta SLURM array; completed all 29 tasks
MAG29	SS-18	SS-19	METAMDBG-MetaBAT2Refined-group-group_240304.5	1	1	1	37	19	yes	Bakta v1.11.0 GFF3 reannotation (DB light v6)	PRIMARY	Bakta SLURM array; completed all 29 tasks
MAG29	SS-19	SS-12	METAMDBG-MetaBAT2Refined-group-group_240416.112	1	1	1	46	19	yes	Bakta v1.11.0 GFF3 reannotation (DB light v6)	PRIMARY	Bakta SLURM array; completed all 29 tasks
MAG29	SS-20	SS-23	METAMDBG-MetaBAT2Refined-group-group_240416.1169	1	1	1	47	20	yes	Bakta v1.11.0 GFF3 reannotation (DB light v6)	PRIMARY	Bakta SLURM array; completed all 29 tasks
MAG29	SS-21	SS-07	METAMDBG-MetaBAT2Refined-group-group_240416.257	3	3	3	45	20	yes	Bakta v1.11.0 GFF3 reannotation (DB light v6)	PRIMARY	Bakta SLURM array; completed all 29 tasks
MAG29	SS-22	SS-20	METAMDBG-MetaBAT2Refined-group-group_240416.291	1	1	1	41	19	yes	Bakta v1.11.0 GFF3 reannotation (DB light v6)	PRIMARY	Bakta SLURM array; completed all 29 tasks
MAG29	SS-23	SS-18	METAMDBG-MetaBAT2Refined-group-group_240416.313	1	1	1	42	20	yes	Bakta v1.11.0 GFF3 reannotation (DB light v6)	PRIMARY	Bakta SLURM array; completed all 29 tasks
MAG29	SS-24	SS-15	METAMDBG-MetaBAT2Refined-group-group_240416.708_sub	1	1	1	48	20	yes	Bakta v1.11.0 GFF3 reannotation (DB light v6)	PRIMARY	Bakta SLURM array; completed all 29 tasks
MAG29	SS-25	SS-24	METAMDBG-MetaBAT2Refined-group-group_240416.795	1	1	1	44	19	yes	Bakta v1.11.0 GFF3 reannotation (DB light v6)	PRIMARY	Bakta SLURM array; completed all 29 tasks
MAG29	SS-26	SS-03	METAMDBG-MetaBinnerRefined-group-group_240416.1	2	3	3	46	20	yes	Bakta v1.11.0 GFF3 reannotation (DB light v6)	PRIMARY	Bakta SLURM array; completed all 29 tasks
MAG29	SS-27	SS-22	METAMDBG-MetaBinnerRefined-group-group_240416.2	1	1	2	42	19	yes	Bakta v1.11.0 GFF3 reannotation (DB light v6)	PRIMARY	Bakta SLURM array; completed all 29 tasks
MAG29	SS-28	SS-02	METAMDBG-MetaBinnerRefined-group-group_240416.5	2	2	2	45	20	yes	Bakta v1.11.0 GFF3 reannotation (DB light v6)	PRIMARY	Bakta SLURM array; completed all 29 tasks
MAG29	SS-29	SS-01	METAMDBG-SemiBin2Refined-group-group_240905.0	1	1	1	31	20	yes	Bakta v1.11.0 GFF3 reannotation (DB light v6)	PRIMARY	Bakta SLURM array; completed all 29 tasks
CoA4	NOT_APPLICABLE	CoA-1	FLYE-MetaBAT2Refined-group-group_2025_4samples.8	1	0	0	38	19	no	Bakta v1.11.0 GFF3 reannotation (DB light v6)	PRIMARY	Bakta SLURM array; completed all 4 tasks
CoA4	NOT_APPLICABLE	CoA-2	METAMDBG-MetaBAT2Refined-group-group_2025_4samples.106	2	2	1	45	20	yes	Bakta v1.11.0 GFF3 reannotation (DB light v6)	PRIMARY	Bakta SLURM array; completed all 4 tasks
CoA4	NOT_APPLICABLE	CoA-3	METAMDBG-MetaBinnerRefined-group-group_2025_4samples.1	3	1	1	52	19	yes	Bakta v1.11.0 GFF3 reannotation (DB light v6)	PRIMARY	Bakta SLURM array; completed all 4 tasks
CoA4	NOT_APPLICABLE	CoA-4	METAMDBG-SemiBin2Refined-group-group_2025_4samples.0	2	1	3	47	20	yes	Bakta v1.11.0 GFF3 reannotation (DB light v6)	PRIMARY	Bakta SLURM array; completed all 4 tasks
