genome	n_genes_called	n_genes_mapped	n_contigs	taxonomic_level	proportion_genes_retained_in_major_clades	genes_retained_index	clade_separation_score	contamination_portion	n_effective_surplus_clades	mean_hit_identity	reference_representation_score	pass.GUNC
METAMDBG-MetaBAT2Refined-group-group_240416.162	3124	2944	2	order	0.73	0.69	0.01	0.2	0.53	0.63	0.43	True
METAMDBG-MetaBAT2Refined-group-group_240416.187_sub	2152	1855	143	class	0.88	0.76	0.15	0.18	0.48	0.6	0.46	True
METAMDBG-MetaBAT2Refined-group-group_240416.197	5547	5228	39	order	0.95	0.89	0.02	0.2	0.54	0.72	0.64	True
METAMDBG-MetaBAT2Refined-group-group_240416.202	2904	2468	115	family	0.52	0.45	0.11	0.29	0.94	0.56	0.25	True
METAMDBG-MetaBAT2Refined-group-group_240416.206	1280	1143	94	phylum	0.86	0.76	0.21	0.25	0.68	0.54	0.41	True
METAMDBG-MetaBAT2Refined-group-group_240416.209_sub	921	832	47	kingdom	1.0	0.9	0.09	0.16	0.37	0.58	0.53	True
METAMDBG-MetaBAT2Refined-group-group_240416.215	4266	3896	106	family	0.58	0.53	0.12	0.5	1.87	0.58	0.31	True
METAMDBG-MetaBAT2Refined-group-group_240416.233	3669	3407	10	class	0.95	0.89	0.06	0.09	0.19	0.62	0.55	True
METAMDBG-MetaBAT2Refined-group-group_240416.242	2894	2711	29	family	0.51	0.48	0.12	0.71	4.59	0.62	0.3	True
METAMDBG-MetaBAT2Refined-group-group_240416.251_sub	5642	4476	569	class	0.64	0.51	0.28	0.59	3.69	0.52	0.26	True
METAMDBG-MetaBAT2Refined-group-group_240416.252	3500	3295	30	phylum	0.89	0.84	0.28	0.04	0.09	0.66	0.56	True
METAMDBG-MetaBAT2Refined-group-group_240416.257	5595	5233	2	kingdom	1.0	0.93	0.0	0.0	0.0	0.72	0.68	True
METAMDBG-MetaBAT2Refined-group-group_240416.258_sub	3404	3056	158	phylum	0.9	0.81	0.3	0.03	0.05	0.6	0.49	True
METAMDBG-MetaBAT2Refined-group-group_240416.264	4574	3785	115	phylum	0.74	0.61	0.09	0.72	3.9	0.48	0.29	True
METAMDBG-MetaBAT2Refined-group-group_240416.268_sub	3258	2983	99	class	0.95	0.87	0.2	0.05	0.1	0.65	0.57	True
METAMDBG-MetaBAT2Refined-group-group_240416.269	2988	2810	64	genus	0.6	0.57	0.27	0.07	0.14	0.75	0.42	True
METAMDBG-MetaBAT2Refined-group-group_240416.277_sub	4077	3685	307	genus	0.55	0.5	0.46	0.22	0.61	0.73	0.37	False
METAMDBG-MetaBAT2Refined-group-group_240416.281_sub	2388	2175	88	phylum	0.87	0.8	0.07	0.16	0.41	0.55	0.44	True
METAMDBG-MetaBAT2Refined-group-group_240416.291	3235	3001	12	class	0.9	0.84	0.01	0.16	0.38	0.59	0.49	True
METAMDBG-MetaBAT2Refined-group-group_240416.299	1723	1638	20	class	0.92	0.87	0.04	0.18	0.46	0.59	0.52	True
METAMDBG-MetaBAT2Refined-group-group_240416.313	3082	2860	3	kingdom	1.0	0.93	0.0	0.0	0.0	0.58	0.54	True
METAMDBG-MetaBAT2Refined-group-group_240416.328	2627	2477	48	phylum	0.95	0.89	0.13	0.03	0.06	0.58	0.52	True
METAMDBG-MetaBAT2Refined-group-group_240416.33	3717	3481	8	phylum	0.93	0.87	0.13	0.16	0.38	0.61	0.53	True
METAMDBG-MetaBAT2Refined-group-group_240416.334	583	467	48	class	0.75	0.6	0.83	0.1	0.21	0.63	0.38	False
METAMDBG-MetaBAT2Refined-group-group_240416.34	3537	3248	194	phylum	0.95	0.87	0.32	0.02	0.04	0.62	0.54	True
METAMDBG-MetaBAT2Refined-group-group_240416.343	803	760	1	kingdom	1.0	0.95	0.0	0.0	0.0	0.65	0.62	True
METAMDBG-MetaBAT2Refined-group-group_240416.373	3568	3285	21	class	0.88	0.81	0.01	0.02	0.05	0.63	0.51	True
METAMDBG-MetaBAT2Refined-group-group_240416.374	1622	1573	87	class	0.98	0.95	0.33	0.06	0.13	0.7	0.66	True
METAMDBG-MetaBAT2Refined-group-group_240416.389_sub	8602	7613	215	genus	0.63	0.56	0.14	0.49	2.05	0.73	0.41	True
METAMDBG-MetaBAT2Refined-group-group_240416.394_sub	1425	1326	55	class	0.92	0.85	0.1	0.05	0.11	0.65	0.56	True
METAMDBG-MetaBAT2Refined-group-group_240416.402	2609	2498	114	phylum	0.97	0.93	0.34	0.02	0.05	0.75	0.7	True
METAMDBG-MetaBAT2Refined-group-group_240416.410_sub	3590	3162	239	class	0.79	0.7	0.27	0.03	0.06	0.63	0.44	True
METAMDBG-MetaBAT2Refined-group-group_240416.413_sub	4132	3893	20	class	0.9	0.85	0.04	0.23	0.61	0.58	0.49	True
METAMDBG-MetaBAT2Refined-group-group_240416.416_sub	2549	2382	53	class	0.89	0.83	0.08	0.28	0.87	0.58	0.48	True
METAMDBG-MetaBAT2Refined-group-group_240416.417	2343	2032	79	family	0.63	0.54	0.1	0.14	0.34	0.6	0.32	True
METAMDBG-MetaBAT2Refined-group-group_240416.418	3062	2851	33	class	0.81	0.75	0.07	0.21	0.58	0.57	0.43	True
METAMDBG-MetaBAT2Refined-group-group_240416.420	2460	2134	90	genus	0.59	0.51	0.21	0.18	0.48	0.59	0.3	True
METAMDBG-MetaBAT2Refined-group-group_240416.431	3683	3405	48	class	0.89	0.83	0.17	0.12	0.27	0.65	0.54	True
METAMDBG-MetaBAT2Refined-group-group_240416.435_sub	4258	3312	276	class	0.7	0.55	0.13	0.49	2.01	0.5	0.27	True
METAMDBG-MetaBAT2Refined-group-group_240416.439	1231	1139	70	phylum	0.89	0.82	0.23	0.06	0.13	0.63	0.52	True
METAMDBG-MetaBAT2Refined-group-group_240416.450_sub	2126	1743	166	phylum	0.8	0.66	0.11	0.6	3.42	0.49	0.32	True
METAMDBG-MetaBAT2Refined-group-group_240416.458_sub	1264	1151	84	genus	0.47	0.42	0.44	0.22	0.6	0.59	0.25	True
METAMDBG-MetaBAT2Refined-group-group_240416.483	2896	2648	88	phylum	0.98	0.89	0.12	0.07	0.16	0.72	0.64	True
METAMDBG-MetaBAT2Refined-group-group_240416.484_sub	4512	4204	160	phylum	0.95	0.89	0.26	0.03	0.06	0.65	0.57	True
METAMDBG-MetaBAT2Refined-group-group_240416.486	3158	3050	40	family	0.91	0.88	0.06	0.19	0.47	0.82	0.72	True
METAMDBG-MetaBAT2Refined-group-group_240416.496	1776	1685	52	family	0.78	0.74	0.1	0.04	0.09	0.68	0.5	True
METAMDBG-MetaBAT2Refined-group-group_240416.508_sub	2458	2292	112	class	0.91	0.84	0.35	0.05	0.11	0.66	0.56	True
METAMDBG-MetaBAT2Refined-group-group_240416.517_sub	4291	3661	254	genus	0.63	0.54	0.25	0.22	0.62	0.61	0.33	True
METAMDBG-MetaBAT2Refined-group-group_240416.519	2890	2742	83	class	0.94	0.89	0.3	0.03	0.06	0.75	0.67	True
METAMDBG-MetaBAT2Refined-group-group_240416.523_sub	7087	5491	410	class	0.63	0.49	0.13	0.74	5.98	0.51	0.25	True
METAMDBG-MetaBAT2Refined-group-group_240416.532_sub	5360	4868	219	order	0.9	0.81	0.28	0.04	0.07	0.75	0.61	True
METAMDBG-MetaBAT2Refined-group-group_240416.54	2750	2568	7	phylum	0.91	0.85	0.02	0.04	0.08	0.57	0.48	True
METAMDBG-MetaBAT2Refined-group-group_240416.543_sub	5357	4881	318	class	0.91	0.83	0.1	0.3	0.92	0.59	0.48	True
METAMDBG-MetaBAT2Refined-group-group_240416.553_sub	8276	6593	313	class	0.59	0.47	0.09	0.17	0.44	0.47	0.22	True
METAMDBG-MetaBAT2Refined-group-group_240416.559_sub	4533	3702	402	order	0.53	0.43	0.4	0.25	0.66	0.57	0.25	True
METAMDBG-MetaBAT2Refined-group-group_240416.565_sub	840	598	79	phylum	0.79	0.56	0.14	0.62	3.81	0.47	0.27	True
METAMDBG-MetaBAT2Refined-group-group_240416.584	2326	2080	123	genus	0.69	0.61	0.3	0.11	0.25	0.64	0.39	True
METAMDBG-MetaBAT2Refined-group-group_240416.585	3165	2955	40	order	0.76	0.71	0.11	0.28	0.83	0.63	0.45	True
METAMDBG-MetaBAT2Refined-group-group_240416.591	2187	2043	72	class	0.91	0.85	0.09	0.14	0.35	0.59	0.5	True
METAMDBG-MetaBAT2Refined-group-group_240416.602	2688	2292	151	order	0.5	0.43	0.19	0.33	1.12	0.51	0.22	True
METAMDBG-MetaBAT2Refined-group-group_240416.607	2686	2573	112	genus	0.79	0.76	0.04	0.24	0.66	0.79	0.6	True
METAMDBG-MetaBAT2Refined-group-group_240416.615	1423	1346	78	phylum	0.97	0.91	0.29	0.04	0.07	0.68	0.62	True
METAMDBG-MetaBAT2Refined-group-group_240416.625	2481	2310	113	phylum	0.97	0.9	0.13	0.04	0.09	0.7	0.63	True
METAMDBG-MetaBAT2Refined-group-group_240416.628	3617	3441	128	genus	0.69	0.65	0.1	0.41	1.37	0.77	0.5	True
METAMDBG-MetaBAT2Refined-group-group_240416.635_sub	3066	2672	134	order	0.48	0.41	0.19	0.19	0.5	0.53	0.22	True
METAMDBG-MetaBAT2Refined-group-group_240416.65	244	233	1	kingdom	0.99	0.95	0.0	0.0	0.0	0.67	0.63	True
METAMDBG-MetaBAT2Refined-group-group_240416.652_sub	6468	5881	440	class	0.87	0.79	0.14	0.2	0.53	0.57	0.45	True
METAMDBG-MetaBAT2Refined-group-group_240416.667	2248	2145	41	class	0.86	0.82	0.09	0.19	0.48	0.58	0.47	True
METAMDBG-MetaBAT2Refined-group-group_240416.674	3063	2908	10	family	0.61	0.57	0.04	0.13	0.3	0.66	0.38	True
METAMDBG-MetaBAT2Refined-group-group_240416.694_sub	7690	5905	440	phylum	0.81	0.62	0.11	0.59	2.82	0.49	0.31	True
METAMDBG-MetaBAT2Refined-group-group_240416.69_sub	4455	3649	325	order	0.55	0.45	0.19	0.11	0.25	0.53	0.24	True
METAMDBG-MetaBAT2Refined-group-group_240416.708_sub	3100	2897	7	family	0.85	0.79	0.07	0.05	0.09	0.82	0.65	True
METAMDBG-MetaBAT2Refined-group-group_240416.715_sub	4270	3833	285	order	0.86	0.77	0.1	0.43	1.55	0.57	0.44	True
METAMDBG-MetaBAT2Refined-group-group_240416.726_sub	1219	1055	74	phylum	0.85	0.74	0.17	0.73	3.69	0.54	0.4	True
METAMDBG-MetaBAT2Refined-group-group_240416.728_sub	7947	7270	308	class	0.81	0.75	0.37	0.19	0.48	0.64	0.47	True
METAMDBG-MetaBAT2Refined-group-group_240416.732	3153	2996	62	genus	0.7	0.66	0.08	0.67	4.03	0.67	0.45	True
METAMDBG-MetaBAT2Refined-group-group_240416.735	2588	2391	37	phylum	0.88	0.81	0.08	0.03	0.06	0.61	0.49	True
METAMDBG-MetaBAT2Refined-group-group_240416.742_sub	2192	2095	122	genus	0.73	0.7	0.12	0.21	0.56	0.8	0.56	True
METAMDBG-MetaBAT2Refined-group-group_240416.766	508	488	26	order	0.9	0.87	0.36	0.02	0.05	0.65	0.56	True
METAMDBG-MetaBAT2Refined-group-group_240416.769_sub	3642	3239	166	family	0.63	0.56	0.07	0.65	4.35	0.57	0.32	True
METAMDBG-MetaBAT2Refined-group-group_240416.77	5139	4955	78	class	0.94	0.91	0.17	0.05	0.1	0.69	0.62	True
METAMDBG-MetaBAT2Refined-group-group_240416.774	2959	2827	106	genus	0.8	0.76	0.02	0.69	5.25	0.73	0.56	True
METAMDBG-MetaBAT2Refined-group-group_240416.795	3406	3227	8	family	0.6	0.57	0.03	0.17	0.42	0.65	0.37	True
METAMDBG-MetaBAT2Refined-group-group_240416.797	3869	3195	243	phylum	0.9	0.75	0.12	0.19	0.47	0.55	0.41	True
METAMDBG-MetaBAT2Refined-group-group_240416.824	1973	1624	46	phylum	0.78	0.64	0.02	0.54	2.69	0.47	0.3	True
METAMDBG-MetaBAT2Refined-group-group_240416.829	2915	2702	31	kingdom	1.0	0.93	0.0	0.0	0.0	0.69	0.64	True
METAMDBG-MetaBAT2Refined-group-group_240416.83	3282	2795	193	class	0.59	0.5	0.11	0.73	6.52	0.49	0.24	True
METAMDBG-MetaBAT2Refined-group-group_240416.835_sub	4833	4653	68	phylum	0.99	0.96	0.11	0.04	0.08	0.75	0.71	True
METAMDBG-MetaBAT2Refined-group-group_240416.848	4394	4137	40	class	0.76	0.72	0.05	0.04	0.09	0.67	0.48	True
METAMDBG-MetaBAT2Refined-group-group_240416.852	2680	2601	19	class	0.96	0.93	0.1	0.03	0.06	0.7	0.65	True
METAMDBG-MetaBAT2Refined-group-group_240416.855_sub	2592	1993	218	phylum	0.79	0.6	0.37	0.67	3.9	0.53	0.32	True
METAMDBG-MetaBAT2Refined-group-group_240416.864_sub	5332	4859	89	phylum	0.93	0.85	0.22	0.02	0.04	0.59	0.5	True
METAMDBG-MetaBAT2Refined-group-group_240416.870_sub	7333	6860	48	class	0.85	0.79	0.13	0.04	0.07	0.63	0.5	True
METAMDBG-MetaBAT2Refined-group-group_240416.87_sub	2912	2733	29	class	0.9	0.84	0.03	0.19	0.49	0.57	0.48	True
METAMDBG-MetaBAT2Refined-group-group_240416.880	1945	1702	143	class	0.59	0.52	0.12	0.51	2.46	0.53	0.27	True
METAMDBG-MetaBAT2Refined-group-group_240416.882_sub	1876	1687	84	class	0.96	0.86	0.22	0.03	0.06	0.7	0.61	True
METAMDBG-MetaBAT2Refined-group-group_240416.890	2778	2666	14	class	0.86	0.82	0.03	0.06	0.12	0.62	0.51	True
METAMDBG-MetaBAT2Refined-group-group_240416.896_sub	2708	2584	8	class	0.88	0.84	0.01	0.18	0.48	0.58	0.49	True
METAMDBG-MetaBAT2Refined-group-group_240416.900	3460	3224	29	phylum	0.91	0.85	0.14	0.02	0.05	0.6	0.51	True
METAMDBG-MetaBAT2Refined-group-group_240416.901_sub	3293	3027	162	family	0.72	0.66	0.1	0.31	0.88	0.62	0.41	True
METAMDBG-MetaBAT2Refined-group-group_240416.915	3873	2944	264	class	0.63	0.48	0.12	0.21	0.56	0.48	0.23	True
METAMDBG-MetaBAT2Refined-group-group_240416.923_sub	2127	2016	167	genus	0.86	0.81	0.28	0.08	0.18	0.84	0.69	True
METAMDBG-MetaBAT2Refined-group-group_240416.93_sub	579	550	7	genus	0.64	0.61	0.09	0.21	0.58	0.69	0.42	True
METAMDBG-MetaBAT2Refined-group-group_240416.958	2783	2510	105	phylum	0.88	0.79	0.14	0.11	0.24	0.57	0.45	True
METAMDBG-MetaBAT2Refined-group-group_240416.995	265	222	19	phylum	0.91	0.76	0.28	0.32	1.05	0.55	0.42	True
METAMDBG-MetaBinnerRefined-group-group_240416.1	4619	4095	61	phylum	0.92	0.81	0.09	0.04	0.08	0.53	0.43	True
METAMDBG-MetaBinnerRefined-group-group_240416.100	968	914	40	order	0.87	0.82	0.13	0.03	0.07	0.66	0.54	True
METAMDBG-MetaBinnerRefined-group-group_240416.102	5415	4777	229	family	0.6	0.53	0.19	0.05	0.11	0.58	0.31	True
METAMDBG-MetaBinnerRefined-group-group_240416.104	2923	2665	191	family	0.74	0.68	0.15	0.15	0.35	0.65	0.44	True
METAMDBG-MetaBinnerRefined-group-group_240416.107_sub	1865	1709	43	class	0.9	0.82	0.05	0.17	0.43	0.59	0.49	True
METAMDBG-MetaBinnerRefined-group-group_240416.116	4558	3667	180	order	0.68	0.55	0.14	0.25	0.66	0.55	0.3	True
METAMDBG-MetaBinnerRefined-group-group_240416.120	2072	1851	157	phylum	0.97	0.87	0.75	0.02	0.04	0.62	0.54	False
METAMDBG-MetaBinnerRefined-group-group_240416.121	3973	3482	59	family	0.55	0.48	0.17	0.08	0.17	0.6	0.29	True
METAMDBG-MetaBinnerRefined-group-group_240416.123_sub	2636	2328	99	family	0.52	0.46	0.72	0.78	5.65	0.66	0.3	False
METAMDBG-MetaBinnerRefined-group-group_240416.124_sub	2764	2509	163	phylum	0.91	0.83	0.23	0.05	0.11	0.58	0.48	True
METAMDBG-MetaBinnerRefined-group-group_240416.135	4563	3917	264	phylum	0.87	0.75	0.15	0.38	1.39	0.54	0.4	True
METAMDBG-MetaBinnerRefined-group-group_240416.136_sub	5502	4780	236	phylum	0.86	0.74	0.13	0.32	1.06	0.59	0.44	True
METAMDBG-MetaBinnerRefined-group-group_240416.137	1992	1875	18	family	0.57	0.53	0.09	0.17	0.43	0.65	0.35	True
METAMDBG-MetaBinnerRefined-group-group_240416.142	3100	2284	249	phylum	0.77	0.57	0.37	0.74	5.29	0.52	0.3	True
METAMDBG-MetaBinnerRefined-group-group_240416.146	5720	5165	227	order	0.81	0.74	0.09	0.51	1.97	0.61	0.45	True
METAMDBG-MetaBinnerRefined-group-group_240416.148	4222	3536	300	family	0.53	0.45	0.3	0.28	0.81	0.6	0.27	True
METAMDBG-MetaBinnerRefined-group-group_240416.149_sub	2484	2385	123	class	0.92	0.88	0.84	0.02	0.05	0.73	0.64	False
METAMDBG-MetaBinnerRefined-group-group_240416.15	2581	2385	56	class	0.93	0.86	0.08	0.11	0.26	0.64	0.55	True
METAMDBG-MetaBinnerRefined-group-group_240416.151	3443	3169	153	phylum	0.98	0.91	0.19	0.03	0.06	0.71	0.64	True
