MAG_ID	Original_bin_ID	Source_sample	Phylum	Class	Order	Family	Genus	Completeness	Contamination	Genome_size_Mb	N_contigs	CDS	Total_proteins_annotated	Proteins_with_COG	Proteins_with_KEGG	CAZymes	VFDB_hits	BGCs_GECCO	antiSMASH_regions	Pct_hypothetical
SS-13	FLYE-MetaBAT2Refined-group-group_220428.91	MG220428	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae	JARRKU01	92.36	0.42	4.49	13	4072	3640	2777	2054	33	472	0	7	48.1
SS-14	METAMDBG-MetaBAT2Refined-group-group_231025.73	MG231025	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	JAHTBL01	94.16	0.21	3.29	10	3290	3136	2262	1934	27	427	2	6	25.3
SS-15	METAMDBG-MetaBAT2Refined-group-group_240416.708_sub	MG240416	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	Methyloceanibacter	93.19	3.69	3.12	7	3102	2691	1941	1665	26	328	3	11	37.7
SS-16	METAMDBG-MaxBin2Refined-group-group_240416.006	MG240416	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	Methyloceanibacter	99.55	0.28	2.94	12	2902	2509	1801	1563	25	310	1	7	36.0
SS-17	FLYE-MetaBAT2Refined-group-group_240416.203	MG240416	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	CAJQQK01	92.0	2.77	5.32	38	5033	4467	3334	2540	25	589	2	11	48.5
SS-18	METAMDBG-MetaBAT2Refined-group-group_240416.313	MG240416	Pseudomonadota	Gammaproteobacteria	BMS3Bbin11	BMS3Bbin11	BMS3Bbin11	100.0	0.01	3.21	3	3076	2811	2059	1748	34	427	1	6	43.6
SS-19	METAMDBG-MetaBAT2Refined-group-group_240304.5	MG240304	Pseudomonadota	Gammaproteobacteria	GCA-001735895	GCA-001735895	JACNJF01	94.1	4.46	3.35	54	3251	2952	2196	1814	21	459	0	5	51.2
SS-20	METAMDBG-MetaBAT2Refined-group-group_240416.291	MG240416	Pseudomonadota	Gammaproteobacteria	SZUA-229	SZUA-229	JABDQW01	95.11	1.05	3.51	12	3238	2934	2122	1717	30	388	0	3	42.2
SS-21	METAMDBG-MetaBAT2Refined-group-group_240304.148	MG240304	Pseudomonadota	Gammaproteobacteria	SZUA-229	SZUA-229	GCA-2746365	95.51	1.93	3.13	12	2971	2691	1970	1639	35	360	0	4	40.9
SS-22	METAMDBG-MetaBinnerRefined-group-group_240416.2	MG240416	Pseudomonadota	Gammaproteobacteria	Woeseiales	Woeseiaceae	JAACFE01	97.01	2.76	3.95	13	3701	3441	2518	2031	28	445	1	5	36.1
SS-23	METAMDBG-MetaBAT2Refined-group-group_240416.1169	MG240416	Pseudomonadota	Gammaproteobacteria	Woeseiales	Woeseiaceae	JBFGFX01	99.97	0.88	4.57	3	3984	3696	2708	2127	28	511	3	7	38.3
SS-24	METAMDBG-MetaBAT2Refined-group-group_240416.795	MG240416	Pseudomonadota	Gammaproteobacteria	Woeseiales	Woeseiaceae	JAACFB01	98.25	0.11	3.68	8	3402	3160	2342	1864	29	422	5	8	36.2
SS-25	METAMDBG-MaxBin2Refined-group-group_220428.005	MG220428	Pseudomonadota	Gammaproteobacteria	Woeseiales	Woeseiaceae	JAACFB01	97.6	0.14	3.79	5	3425	3153	2334	1851	32	449	5	8	36.6
SS-26	FLYE-MetaBAT2Refined-group-group_240416.820	MG240416	Pseudomonadota	Gammaproteobacteria	Chromatiales	Sedimenticolaceae	Sva-25	97.17	2.76	3.05	14	3157	2832	2056	1786	21	375	0	2	46.6
SS-27	FLYE-MetaBAT2Refined-group-group_240416.419	MG240416	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudohongiellaceae	UBA9145	92.97	0.48	4.11	22	3671	3308	2413	1914	33	412	2	3	40.4
SS-28	FLYE-MetaBAT2Refined-group-group_240416.82	MG240416	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	SZUA-36	SZUA-36 (fam.)	94.95	0.75	4.05	11	3745	3392	2426	1921	38	473	4	4	47.4
SS-29	FLYE-CONCOCTRefined-group-group_240416.290	MG240416	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	SZUA-36	Marinihelvus	96.92	0.92	3.76	25	3605	3251	2388	1928	34	436	4	7	52.9
